id,genero_cliente,alias,tipo_servicio,genero_preferencia,tiempo_minutos,valor_total,medio_pago,Fecha_Ingreso
326,Masculino,El Rulo,Acompañamiento,Masculino,30,99809,Efectivo,2023-02-05
327,Masculino,Rayo,Masaje,Cualquiera,30,213246,Transferencia,2023-08-09
328,Masculino,El Negro,Baile privado,Masculino,120,282997,Cripto,2023-05-06
329,No binario,Sombra,Baile privado,Cualquiera,120,317991,Tarjeta,2023-02-27
330,Femenino,La Pantera,Masaje,Cualquiera,30,218172,Transferencia,2023-05-15
331,Masculino,El Bravo,Baile privado,Masculino,120,476839,Tarjeta,2023-11-01
332,Masculino,El Negro,Servicio premium,Masculino,45,154521,Cripto,2023-12-03
333,Masculino,El Rey,Servicio premium,Femenino,60,346707,Transferencia,2023-02-07
334,Masculino,El Papi,Acompañamiento,Cualquiera,90,214274,Efectivo,2023-04-09
335,Femenino,La Reina,Acompañamiento,Cualquiera,30,215183,Transferencia,2023-07-19
336,Masculino,Shadow,Baile privado,Femenino,60,116108,Transferencia,2023-05-13
337,Femenino,Pecado,Masaje,Femenino,30,242436,Tarjeta,2023-01-11
338,Masculino,El Rulo,Baile privado,Cualquiera,30,228525,Transferencia,2023-07-14
339,Femenino,Diamante,Acompañamiento,Cualquiera,45,192209,Cripto,2023-06-24
340,Masculino,El Rulo,Acompañamiento,Masculino,90,292070,Transferencia,2023-10-01
341,Masculino,El Rulo,Acompañamiento,Masculino,90,219816,Transferencia,2023-10-03
342,Masculino,El Flaco,Servicio premium,Femenino,90,346368,Cripto,2023-11-25
343,Femenino,Poker,Baile privado,Femenino,60,333682,Efectivo,2023-12-23
344,Femenino,La Diabla,Baile privado,Femenino,30,454374,Transferencia,2023-02-21
345,Masculino,Tormenta,Servicio premium,Masculino,90,116801,Cripto,2023-08-01
346,Masculino,El Vato,Baile privado,Femenino,30,208503,Cripto,2023-07-31
347,Femenino,La Chispa,Masaje,Cualquiera,45,75791,Cripto,2023-07-19
348,No binario,Sombra,Masaje,Cualquiera,60,291226,Efectivo,2023-10-17
349,No binario,Chocolate,Servicio premium,Femenino,60,335422,Tarjeta,2023-09-17
350,Femenino,Candy,Acompañamiento,Masculino,30,220200,Transferencia,2023-04-28
351,Masculino,El Vato,Acompañamiento,Masculino,60,363489,Efectivo,2023-06-03
352,Femenino,La Reina,Baile privado,Masculino,30,486103,Efectivo,2023-08-04
353,No binario,Sombra,Masaje,Masculino,60,400619,Transferencia,2023-08-24
354,Masculino,El Bravo,Acompañamiento,Cualquiera,90,434982,Efectivo,2023-05-27
355,Femenino,Sirena,Servicio premium,Cualquiera,45,352333,Tarjeta,2023-08-12
356,Masculino,Tormenta,Servicio premium,Cualquiera,90,120402,Cripto,2023-07-30
357,Femenino,Dulce,Masaje,Femenino,60,333698,Cripto,2023-09-30
358,No binario,Sombra,Masaje,Femenino,30,284512,Cripto,2023-06-13
359,Femenino,La Pantera,Baile privado,Masculino,45,403835,Tarjeta,2023-08-31
360,Femenino,Gata Salvaje,Acompañamiento,Cualquiera,30,285343,Efectivo,2023-04-09
361,Masculino,El Papi,Servicio premium,Masculino,60,51931,Tarjeta,2023-06-11
362,Femenino,La Chispa,Masaje,Femenino,90,486941,Transferencia,2023-08-02
363,Masculino,El Rulo,Servicio premium,Masculino,90,232541,Efectivo,2023-03-02
364,Femenino,Rubí,Baile privado,Masculino,60,309934,Transferencia,2023-03-24
365,Femenino,La Pantera,Masaje,Femenino,60,269136,Tarjeta,2023-10-05
366,Masculino,El Vato,Servicio premium,Femenino,60,227562,Efectivo,2023-05-29
367,No binario,Sombra,Baile privado,Masculino,90,163372,Efectivo,2023-07-13
368,Femenino,Luz Negra,Servicio premium,Cualquiera,45,383388,Efectivo,2023-03-26
369,Femenino,Gata Salvaje,Servicio premium,Cualquiera,120,125870,Tarjeta,2023-06-01
370,Masculino,El Rey,Acompañamiento,Femenino,90,109736,Efectivo,2023-09-09
371,Masculino,El Gallito,Masaje,Femenino,60,269190,Transferencia,2023-03-09
372,Masculino,El Tigre,Acompañamiento,Cualquiera,45,278425,Efectivo,2023-06-13
373,Femenino,Dulce,Servicio premium,Masculino,30,172100,Cripto,2023-01-02
374,Masculino,El Rey,Servicio premium,Masculino,90,326536,Transferencia,2023-10-22
375,Masculino,Fantasma,Acompañamiento,Femenino,90,417797,Efectivo,2023-07-26
376,Masculino,El Tigre,Baile privado,Cualquiera,45,309879,Tarjeta,2023-04-16
377,Masculino,El Gallito,Servicio premium,Cualquiera,60,167479,Transferencia,2023-08-15
378,Femenino,Rubí,Servicio premium,Cualquiera,90,227170,Cripto,2023-08-10
379,Masculino,El Duende,Baile privado,Cualquiera,90,190224,Cripto,2023-10-07
380,Femenino,Sirena,Acompañamiento,Masculino,90,188702,Transferencia,2023-12-14
381,Masculino,Rayo,Baile privado,Cualquiera,90,285332,Cripto,2023-06-23
382,Femenino,Dulce,Acompañamiento,Cualquiera,30,188170,Cripto,2023-07-27
383,Masculino,El Mono,Baile privado,Masculino,30,298370,Transferencia,2023-01-18
384,Femenino,Poker,Servicio premium,Masculino,30,260869,Tarjeta,2023-01-14
385,Masculino,El Rey,Masaje,Cualquiera,45,411467,Transferencia,2023-03-04
386,Masculino,El Tigre,Masaje,Femenino,60,287483,Transferencia,2023-01-21
387,Femenino,Candy,Servicio premium,Femenino,120,363135,Tarjeta,2023-02-25
388,Masculino,El Rulo,Servicio premium,Masculino,90,290434,Transferencia,2023-10-29
389,Femenino,La Chispa,Baile privado,Femenino,120,423935,Cripto,2023-11-26
390,Femenino,Gata Salvaje,Masaje,Masculino,45,229031,Cripto,2023-12-21
391,Masculino,Rayo,Acompañamiento,Femenino,45,499009,Cripto,2023-09-18
392,Masculino,El Veneno,Servicio premium,Femenino,120,254126,Tarjeta,2023-12-22
393,Femenino,Rubí,Acompañamiento,Cualquiera,120,252934,Transferencia,2023-03-07
394,Masculino,El Vato,Servicio premium,Femenino,45,190746,Tarjeta,2023-12-13
395,Femenino,Diamante,Baile privado,Cualquiera,45,77659,Efectivo,2023-07-09
396,Masculino,Tormenta,Servicio premium,Femenino,30,239814,Transferencia,2023-12-18
397,Masculino,El Negro,Masaje,Cualquiera,45,81796,Efectivo,2023-05-11
398,Masculino,El Flaco,Servicio premium,Masculino,45,65528,Tarjeta,2023-07-06
399,Masculino,El Mono,Acompañamiento,Masculino,60,410718,Transferencia,2023-06-08
400,Masculino,El Tigre,Servicio premium,Masculino,30,442559,Transferencia,2023-08-22
401,Masculino,Shadow,Baile privado,Cualquiera,45,273654,Tarjeta,2023-12-03
402,Masculino,El Rulo,Baile privado,Femenino,60,73523,Transferencia,2023-11-09
403,Masculino,El Veneno,Acompañamiento,Femenino,120,479325,Tarjeta,2023-05-03
404,Masculino,Fantasma,Baile privado,Cualquiera,45,335358,Efectivo,2023-09-18
405,Masculino,El Mister,Masaje,Femenino,90,177805,Tarjeta,2023-05-18
406,Masculino,El Veneno,Masaje,Masculino,30,230357,Transferencia,2023-03-02
407,Masculino,El Gallito,Baile privado,Masculino,90,380106,Efectivo,2023-12-02
408,Femenino,Gata Salvaje,Baile privado,Masculino,60,296461,Transferencia,2023-01-09
409,Masculino,El Duende,Masaje,Cualquiera,45,491486,Efectivo,2023-06-29
410,Femenino,La Reina,Acompañamiento,Cualquiera,120,192925,Transferencia,2023-05-15
411,Masculino,El Duende,Baile privado,Masculino,30,191505,Efectivo,2023-01-10
412,Femenino,La Diabla,Masaje,Masculino,120,484140,Cripto,2023-11-04
413,Femenino,Poker,Servicio premium,Masculino,30,145308,Efectivo,2023-03-28
414,Femenino,Pecado,Acompañamiento,Cualquiera,60,116445,Cripto,2023-03-06
415,Femenino,Candy,Masaje,Femenino,60,251832,Cripto,2023-11-21
416,Masculino,El Rey,Baile privado,Masculino,90,170197,Transferencia,2023-01-18
417,Masculino,El Tigre,Acompañamiento,Masculino,90,461542,Efectivo,2023-10-19
418,Masculino,El Lobo,Baile privado,Femenino,30,199289,Transferencia,2023-05-12
419,Femenino,La Diabla,Acompañamiento,Masculino,90,352479,Cripto,2023-06-03
420,Femenino,Poker,Baile privado,Femenino,30,175807,Tarjeta,2023-01-27
421,Masculino,Rayo,Servicio premium,Masculino,60,276416,Efectivo,2023-12-30
422,Femenino,Luz Negra,Masaje,Masculino,120,162158,Transferencia,2023-02-18
423,Masculino,El Papi,Acompañamiento,Femenino,45,422654,Efectivo,2023-10-24
424,Masculino,El Flaco,Acompañamiento,Cualquiera,120,356915,Tarjeta,2023-09-01
425,Femenino,Pecado,Servicio premium,Masculino,30,103596,Efectivo,2023-10-27
426,No binario,Bombón,Acompañamiento,Femenino,90,197616,Tarjeta,2023-01-10
427,Masculino,El Búho,Acompañamiento,Femenino,30,184034,Tarjeta,2023-09-10
428,Masculino,Rayo,Masaje,Masculino,90,170221,Transferencia,2023-05-31
429,Femenino,Sirena,Masaje,Masculino,30,257875,Cripto,2023-11-30
430,Masculino,El Gallito,Acompañamiento,Femenino,90,228048,Cripto,2023-06-11
431,Femenino,Rubí,Baile privado,Masculino,60,402690,Transferencia,2023-03-26
432,Femenino,Sirena,Masaje,Cualquiera,30,211647,Efectivo,2023-02-03
433,Masculino,El Mono,Masaje,Femenino,30,265109,Transferencia,2023-04-01
434,No binario,Chocolate,Servicio premium,Cualquiera,120,98936,Cripto,2023-08-22
435,Masculino,El Flaco,Acompañamiento,Masculino,45,147773,Cripto,2023-10-13
436,Masculino,Tormenta,Acompañamiento,Femenino,90,265987,Cripto,2023-01-23
437,Femenino,La Chispa,Servicio premium,Cualquiera,120,249985,Efectivo,2023-12-10
438,Masculino,El Tigre,Acompañamiento,Cualquiera,90,431448,Cripto,2023-07-11
439,Femenino,La Fiera,Servicio premium,Masculino,45,232595,Efectivo,2023-10-19
440,Masculino,Tormenta,Masaje,Masculino,45,425105,Cripto,2023-04-25
441,Femenino,La Fiera,Baile privado,Masculino,90,398917,Efectivo,2023-08-09
442,Masculino,El Negro,Servicio premium,Femenino,45,159730,Cripto,2023-03-21
443,Masculino,Shadow,Servicio premium,Masculino,30,184306,Cripto,2023-08-07
444,Masculino,Tormenta,Servicio premium,Cualquiera,60,440741,Tarjeta,2023-09-18
445,Masculino,El Tigre,Servicio premium,Femenino,60,271094,Efectivo,2023-05-07
446,Femenino,Diamante,Acompañamiento,Cualquiera,90,162642,Transferencia,2023-03-19
447,No binario,Sombra,Baile privado,Femenino,90,374653,Efectivo,2023-06-18
448,Masculino,El Bravo,Servicio premium,Cualquiera,60,134666,Tarjeta,2023-01-12
449,Masculino,El Tigre,Baile privado,Femenino,60,220897,Transferencia,2023-05-25
450,Masculino,El Gallito,Servicio premium,Cualquiera,120,206065,Efectivo,2023-08-24
451,Femenino,Gata Salvaje,Acompañamiento,Cualquiera,30,53420,Cripto,2023-11-26
452,Femenino,La Pantera,Baile privado,Cualquiera,30,380376,Cripto,2023-07-26
453,Femenino,Gata Salvaje,Baile privado,Cualquiera,30,234297,Tarjeta,2023-05-19
454,Femenino,La Chispa,Masaje,Masculino,60,96764,Tarjeta,2023-03-10
455,Femenino,La Leona,Servicio premium,Femenino,120,183637,Tarjeta,2023-11-04
456,Femenino,Dulce,Acompañamiento,Cualquiera,60,310204,Efectivo,2023-07-22
457,Masculino,Rayo,Baile privado,Femenino,120,441689,Cripto,2023-11-09
458,Masculino,El Búho,Baile privado,Cualquiera,90,447609,Tarjeta,2023-02-28
459,Femenino,Pecado,Servicio premium,Masculino,90,382466,Cripto,2023-10-07
460,Masculino,Fantasma,Acompañamiento,Masculino,30,421913,Tarjeta,2023-11-09
461,No binario,Chocolate,Servicio premium,Cualquiera,60,388765,Efectivo,2023-09-05
462,Masculino,Rayo,Baile privado,Masculino,120,441200,Cripto,2023-01-06
463,Masculino,El Mister,Masaje,Femenino,45,212639,Cripto,2023-04-27
464,Femenino,Cupcake,Acompañamiento,Masculino,60,72015,Cripto,2023-01-27
465,Femenino,Poker,Masaje,Cualquiera,90,427282,Efectivo,2023-05-06
466,Femenino,La Diabla,Acompañamiento,Femenino,45,257273,Transferencia,2023-05-19
467,Masculino,El Mono,Masaje,Masculino,60,89373,Efectivo,2023-11-07
468,Femenino,Dulce,Acompañamiento,Masculino,90,445852,Efectivo,2023-06-06
469,No binario,Bombón,Masaje,Masculino,30,190665,Tarjeta,2023-10-20
470,Masculino,El Mister,Masaje,Cualquiera,90,386304,Tarjeta,2023-07-26
471,Femenino,Diamante,Servicio premium,Femenino,120,177963,Transferencia,2023-04-11
472,Masculino,Tormenta,Baile privado,Cualquiera,120,213469,Efectivo,2023-08-03
473,Masculino,El Rey,Baile privado,Masculino,60,403099,Tarjeta,2023-09-17
474,Femenino,Poker,Servicio premium,Femenino,120,150865,Transferencia,2023-12-22
475,Femenino,Cupcake,Acompañamiento,Femenino,60,186347,Transferencia,2023-06-27
476,Femenino,La Reina,Servicio premium,Cualquiera,120,339147,Transferencia,2023-04-06
477,Femenino,La Leona,Baile privado,Masculino,60,132697,Transferencia,2023-09-01
478,Masculino,El Rey,Servicio premium,Cualquiera,45,350012,Tarjeta,2023-11-27
479,Femenino,Poker,Servicio premium,Masculino,30,414324,Cripto,2023-04-15
480,Femenino,Dulce,Masaje,Cualquiera,120,375639,Efectivo,2023-07-13
481,Masculino,El Flaco,Masaje,Masculino,90,205574,Transferencia,2023-10-18
482,Femenino,Pecado,Servicio premium,Femenino,45,384859,Tarjeta,2023-03-11
483,Femenino,La Fiera,Baile privado,Cualquiera,30,482767,Transferencia,2023-01-13
484,Femenino,La Fiera,Masaje,Cualquiera,45,72052,Tarjeta,2023-05-31
485,Femenino,La Diabla,Masaje,Femenino,45,464672,Transferencia,2023-05-22
486,Femenino,Pecado,Servicio premium,Cualquiera,45,229642,Efectivo,2023-12-04
487,Femenino,Cupcake,Servicio premium,Cualquiera,60,489884,Efectivo,2023-03-18
488,Masculino,El Bravo,Acompañamiento,Femenino,30,212367,Tarjeta,2023-06-12
489,Masculino,El Vato,Servicio premium,Cualquiera,90,288743,Efectivo,2023-07-23
490,Femenino,Poker,Acompañamiento,Cualquiera,90,221552,Efectivo,2023-01-05
491,Masculino,El Duende,Baile privado,Masculino,120,194833,Tarjeta,2023-09-10
492,Femenino,Gata Salvaje,Acompañamiento,Masculino,120,345631,Cripto,2023-01-17
493,Masculino,El Tigre,Baile privado,Masculino,30,410011,Cripto,2023-08-11
494,Masculino,El Búho,Baile privado,Femenino,120,388633,Tarjeta,2023-11-04
495,Femenino,Dulce,Baile privado,Cualquiera,60,319585,Efectivo,2023-01-30
496,Femenino,Dulce,Servicio premium,Cualquiera,30,354982,Tarjeta,2023-06-23
497,Masculino,El Búho,Baile privado,Femenino,120,152081,Cripto,2023-08-06
498,Femenino,La Tremenda,Servicio premium,Masculino,60,269141,Efectivo,2023-07-01
499,Masculino,El Flaco,Baile privado,Femenino,90,474164,Cripto,2023-11-24
500,Femenino,Dulce,Acompañamiento,Cualquiera,120,307996,Efectivo,2023-09-25
501,No binario,Bombón,Baile privado,Cualquiera,45,397195,Cripto,2023-07-31
502,Femenino,Rubí,Baile privado,Cualquiera,90,66120,Transferencia,2023-08-20
503,Femenino,Dulce,Baile privado,Femenino,120,183340,Cripto,2023-03-29
504,Femenino,Sirena,Acompañamiento,Femenino,60,397960,Transferencia,2023-02-21
505,Femenino,Poker,Servicio premium,Masculino,120,472900,Cripto,2023-08-20
506,No binario,Bombón,Masaje,Masculino,45,83091,Cripto,2023-10-27
507,Masculino,Tormenta,Servicio premium,Cualquiera,60,143877,Cripto,2023-01-08
508,Femenino,Cupcake,Servicio premium,Masculino,90,155577,Transferencia,2023-11-13
509,Masculino,El Veneno,Acompañamiento,Masculino,60,422497,Cripto,2023-05-13
510,Femenino,Candy,Servicio premium,Masculino,30,314716,Tarjeta,2023-03-22
511,Masculino,El Duende,Acompañamiento,Cualquiera,45,336453,Efectivo,2023-03-14
512,Masculino,El Búho,Acompañamiento,Femenino,120,377860,Efectivo,2023-01-29
513,Femenino,La Leona,Masaje,Masculino,30,87714,Tarjeta,2023-08-13
514,No binario,Bombón,Acompañamiento,Cualquiera,90,167725,Tarjeta,2023-02-19
515,Masculino,Fantasma,Masaje,Masculino,30,477027,Tarjeta,2023-11-03
516,Femenino,La Mamba,Baile privado,Femenino,60,422284,Efectivo,2023-11-04
517,No binario,Bombón,Acompañamiento,Femenino,45,223113,Efectivo,2023-03-17
518,Femenino,Luz Negra,Masaje,Cualquiera,90,460017,Cripto,2023-07-24
519,Femenino,Luz Negra,Acompañamiento,Femenino,30,223695,Cripto,2023-04-16
520,Femenino,Dulce,Servicio premium,Femenino,60,490825,Efectivo,2023-10-13
521,Masculino,El Duende,Masaje,Femenino,45,341517,Tarjeta,2023-01-27
522,Masculino,El Tigre,Acompañamiento,Masculino,30,99496,Tarjeta,2023-02-04
523,Masculino,El Veneno,Masaje,Masculino,90,120473,Efectivo,2023-07-06
524,Femenino,La Coneja,Servicio premium,Femenino,120,240287,Efectivo,2023-04-16
525,Femenino,Gata Salvaje,Baile privado,Cualquiera,45,307824,Cripto,2023-01-16
526,Masculino,El Lobo,Servicio premium,Cualquiera,90,379106,Transferencia,2023-10-22
527,Masculino,Fantasma,Masaje,Femenino,120,62194,Tarjeta,2023-09-17
528,Femenino,Poker,Baile privado,Femenino,45,289590,Transferencia,2023-04-05
529,Femenino,Luz Negra,Baile privado,Femenino,120,112025,Tarjeta,2023-08-24
530,Femenino,La Mamba,Servicio premium,Masculino,30,198390,Efectivo,2023-03-28
531,Masculino,Tormenta,Baile privado,Femenino,90,483907,Efectivo,2023-12-15
532,Masculino,El Mono,Acompañamiento,Cualquiera,90,59159,Efectivo,2023-02-07
533,Masculino,Shadow,Masaje,Femenino,120,206438,Transferencia,2023-08-03
534,Femenino,Poker,Servicio premium,Femenino,45,431967,Efectivo,2023-12-20
535,Masculino,El Rey,Servicio premium,Masculino,120,61190,Efectivo,2023-04-28
536,Masculino,Tormenta,Masaje,Masculino,60,415083,Transferencia,2023-11-22
537,Masculino,Tormenta,Baile privado,Femenino,120,296007,Cripto,2023-11-02
538,Masculino,Tormenta,Acompañamiento,Masculino,90,57706,Efectivo,2023-12-01
539,Masculino,El Gallito,Baile privado,Masculino,90,496091,Efectivo,2023-03-13
540,Masculino,Shadow,Baile privado,Cualquiera,120,328004,Efectivo,2023-04-19
541,Femenino,La Reina,Masaje,Femenino,90,112140,Cripto,2023-05-20
542,Femenino,Diamante,Servicio premium,Femenino,30,223086,Efectivo,2023-07-21
543,No binario,Bombón,Acompañamiento,Masculino,60,164877,Cripto,2023-10-31
544,Femenino,Rubí,Acompañamiento,Cualquiera,90,436017,Efectivo,2023-05-18
545,Femenino,Luz Negra,Masaje,Femenino,60,383513,Tarjeta,2023-06-09
546,Femenino,Sirena,Servicio premium,Femenino,60,193916,Efectivo,2023-08-19
547,Femenino,Rubí,Servicio premium,Masculino,45,91680,Efectivo,2023-06-01
548,Femenino,Cupcake,Masaje,Femenino,90,289511,Tarjeta,2023-07-29
549,Masculino,El Negro,Baile privado,Femenino,45,374288,Transferencia,2023-12-08
550,Femenino,La Coneja,Masaje,Femenino,60,355274,Cripto,2023-02-19
551,Femenino,Gata Salvaje,Baile privado,Femenino,120,321175,Cripto,2023-05-22
552,Masculino,El Búho,Servicio premium,Cualquiera,60,297313,Transferencia,2023-10-03
553,No binario,Sombra,Acompañamiento,Masculino,45,331408,Transferencia,2023-01-06
554,Femenino,Rubí,Masaje,Cualquiera,30,103004,Efectivo,2023-11-04
555,Masculino,Tormenta,Baile privado,Masculino,45,451364,Cripto,2023-03-13
556,Femenino,Pecado,Baile privado,Cualquiera,90,375670,Tarjeta,2023-02-11
557,Femenino,La Coneja,Masaje,Masculino,120,393397,Efectivo,2023-09-07
558,Masculino,El Gallito,Acompañamiento,Cualquiera,120,366837,Tarjeta,2023-03-23
559,Masculino,El Búho,Acompañamiento,Cualquiera,120,260981,Cripto,2023-01-23
560,Masculino,El Lobo,Servicio premium,Femenino,45,372035,Transferencia,2023-04-19
561,Masculino,El Veneno,Acompañamiento,Masculino,90,133700,Transferencia,2023-12-26
562,Masculino,Fantasma,Baile privado,Cualquiera,30,64675,Cripto,2023-09-15
563,Masculino,Tormenta,Servicio premium,Cualquiera,120,192635,Tarjeta,2023-02-11
564,Masculino,El Tigre,Acompañamiento,Masculino,45,376615,Efectivo,2023-05-16
565,Femenino,La Tremenda,Acompañamiento,Femenino,120,498333,Efectivo,2023-01-23
566,Femenino,Gata Salvaje,Acompañamiento,Femenino,120,380724,Cripto,2023-08-23
567,No binario,Sombra,Masaje,Masculino,90,428381,Transferencia,2023-02-07
568,No binario,Chocolate,Acompañamiento,Femenino,90,171084,Efectivo,2023-09-02
569,Masculino,Rayo,Servicio premium,Femenino,120,405162,Efectivo,2023-11-06
570,Masculino,El Tigre,Acompañamiento,Masculino,60,458219,Efectivo,2023-04-29
571,Masculino,Fantasma,Acompañamiento,Cualquiera,90,414996,Tarjeta,2023-01-14
572,Masculino,El Vato,Servicio premium,Masculino,30,58324,Efectivo,2023-09-14
573,Masculino,Rayo,Baile privado,Femenino,60,463498,Efectivo,2023-07-22
574,Femenino,La Pantera,Servicio premium,Femenino,30,387241,Transferencia,2023-09-01
575,Masculino,El Lobo,Baile privado,Cualquiera,120,413003,Transferencia,2023-08-14
576,Masculino,El Bravo,Masaje,Masculino,120,105406,Cripto,2023-01-24
577,Masculino,El Tigre,Masaje,Femenino,90,123257,Tarjeta,2023-02-18
578,Femenino,La Chispa,Servicio premium,Masculino,30,91791,Tarjeta,2023-09-13
579,Femenino,Pecado,Acompañamiento,Femenino,30,79920,Efectivo,2023-02-28
580,Masculino,El Búho,Acompañamiento,Masculino,90,163618,Transferencia,2023-11-22
581,Masculino,El Negro,Acompañamiento,Masculino,120,275642,Efectivo,2023-03-23
582,Femenino,Diamante,Acompañamiento,Masculino,90,372102,Cripto,2023-06-03
583,Masculino,El Gallito,Acompañamiento,Cualquiera,30,253863,Transferencia,2023-05-12
584,No binario,Sombra,Masaje,Cualquiera,45,244727,Cripto,2023-08-04
585,Masculino,El Rey,Acompañamiento,Cualquiera,30,238231,Tarjeta,2023-05-21
586,Femenino,Rubí,Baile privado,Cualquiera,30,243316,Efectivo,2023-08-09
587,Femenino,La Leona,Acompañamiento,Cualquiera,60,122047,Efectivo,2023-05-30
588,Femenino,La Fiera,Servicio premium,Femenino,60,78583,Transferencia,2023-11-29
589,Femenino,La Reina,Baile privado,Cualquiera,60,364694,Transferencia,2023-01-15
590,Masculino,Rayo,Servicio premium,Cualquiera,120,116192,Transferencia,2023-11-26
591,No binario,Chocolate,Masaje,Masculino,30,84673,Transferencia,2023-12-19
592,Femenino,La Coneja,Baile privado,Cualquiera,60,306665,Efectivo,2023-05-25
593,Masculino,El Rey,Baile privado,Femenino,90,374721,Efectivo,2023-08-21
594,Femenino,La Chispa,Acompañamiento,Cualquiera,45,326911,Tarjeta,2023-08-19
595,Femenino,La Coneja,Baile privado,Cualquiera,30,293979,Tarjeta,2023-09-29
596,Masculino,Tormenta,Masaje,Cualquiera,60,388301,Tarjeta,2023-10-14
597,Femenino,La Pantera,Acompañamiento,Cualquiera,120,487838,Efectivo,2023-02-04
598,No binario,Chocolate,Servicio premium,Masculino,30,189583,Tarjeta,2023-05-07
599,Masculino,Tormenta,Acompañamiento,Masculino,60,274043,Tarjeta,2023-09-07
600,Masculino,El Vato,Baile privado,Cualquiera,60,63434,Efectivo,2023-04-25
601,Femenino,La Fiera,Baile privado,Femenino,60,329389,Transferencia,2023-07-19
602,Femenino,Pecado,Masaje,Femenino,45,129273,Tarjeta,2023-04-08
603,Masculino,El Bravo,Masaje,Cualquiera,60,423527,Transferencia,2023-10-20
604,No binario,Bombón,Masaje,Masculino,60,346609,Efectivo,2023-11-08
605,Femenino,La Fiera,Masaje,Masculino,60,320296,Efectivo,2023-12-15
606,Masculino,Shadow,Masaje,Cualquiera,45,397550,Efectivo,2023-03-25
607,Masculino,El Vato,Servicio premium,Masculino,45,286126,Efectivo,2023-12-26
608,Femenino,Gata Salvaje,Servicio premium,Masculino,45,63142,Transferencia,2023-12-28
609,Masculino,El Gallito,Acompañamiento,Femenino,90,433257,Tarjeta,2023-07-23
610,No binario,Bombón,Baile privado,Femenino,120,181552,Cripto,2023-03-05
611,Femenino,Gata Salvaje,Acompañamiento,Masculino,60,128117,Transferencia,2023-07-04
612,Femenino,La Diabla,Masaje,Masculino,60,161878,Cripto,2023-05-28
613,Femenino,Cupcake,Baile privado,Masculino,90,209315,Tarjeta,2023-05-04
614,Masculino,El Negro,Masaje,Femenino,120,173551,Tarjeta,2023-04-05
615,Femenino,La Leona,Masaje,Femenino,90,222385,Cripto,2023-07-11
616,Masculino,El Mister,Acompañamiento,Masculino,45,234117,Cripto,2023-01-09
617,Masculino,El Gallito,Baile privado,Femenino,90,448698,Efectivo,2023-11-28
618,No binario,Sombra,Baile privado,Cualquiera,90,479546,Transferencia,2023-09-29
619,Masculino,El Duende,Baile privado,Cualquiera,120,233567,Efectivo,2023-06-27
620,Masculino,El Bravo,Baile privado,Cualquiera,45,477626,Tarjeta,2023-06-17
621,Masculino,El Flaco,Acompañamiento,Femenino,90,419786,Efectivo,2023-01-13
622,Femenino,La Fiera,Servicio premium,Masculino,30,360995,Transferencia,2023-10-26
623,No binario,Sombra,Baile privado,Cualquiera,45,87875,Tarjeta,2023-09-14
624,Femenino,La Chispa,Baile privado,Masculino,30,159293,Cripto,2023-07-04
625,Masculino,El Mister,Acompañamiento,Femenino,90,264230,Efectivo,2023-12-18
626,Masculino,El Flaco,Servicio premium,Femenino,45,389958,Cripto,2023-03-21
627,Masculino,El Gallito,Masaje,Femenino,120,142175,Tarjeta,2023-12-14
628,Masculino,El Rulo,Servicio premium,Cualquiera,30,128158,Cripto,2023-08-08
629,Femenino,La Mamba,Baile privado,Cualquiera,90,186099,Efectivo,2023-08-25
630,Masculino,El Mono,Masaje,Masculino,30,381270,Efectivo,2023-12-14
631,Femenino,Pecado,Servicio premium,Femenino,120,424132,Cripto,2023-10-06
632,Femenino,Gata Salvaje,Servicio premium,Cualquiera,45,365649,Tarjeta,2023-12-17
633,Masculino,El Negro,Baile privado,Masculino,45,498520,Tarjeta,2023-11-28
634,Masculino,El Lobo,Masaje,Masculino,90,141602,Transferencia,2023-07-18
635,Masculino,El Mono,Baile privado,Femenino,60,382555,Transferencia,2023-04-21
636,Femenino,Cupcake,Baile privado,Masculino,120,451004,Tarjeta,2023-01-11
637,Femenino,La Pantera,Baile privado,Femenino,90,452254,Efectivo,2023-02-05
638,Femenino,La Diabla,Baile privado,Masculino,45,252576,Cripto,2023-07-20
639,Femenino,Poker,Acompañamiento,Femenino,45,123052,Tarjeta,2023-10-04
640,Femenino,La Tremenda,Masaje,Cualquiera,45,417527,Transferencia,2023-11-30
641,Masculino,El Mono,Masaje,Cualquiera,30,230486,Efectivo,2023-02-23
642,Femenino,Rubí,Baile privado,Cualquiera,30,184523,Cripto,2023-03-29
643,Femenino,La Leona,Masaje,Masculino,60,332344,Cripto,2023-03-02
644,Femenino,La Pantera,Acompañamiento,Masculino,45,53823,Efectivo,2023-05-01
645,Femenino,La Reina,Servicio premium,Cualquiera,30,448746,Cripto,2023-03-15
646,Masculino,Shadow,Servicio premium,Femenino,90,366873,Transferencia,2023-01-26
647,Masculino,El Negro,Servicio premium,Cualquiera,60,416412,Efectivo,2023-12-24
648,Masculino,El Bravo,Masaje,Masculino,120,58256,Cripto,2023-08-06
649,Masculino,El Papi,Masaje,Masculino,60,222962,Cripto,2023-05-30
650,No binario,Bombón,Acompañamiento,Femenino,30,147946,Cripto,2023-03-20
651,Femenino,Rubí,Acompañamiento,Cualquiera,45,254651,Efectivo,2023-10-11
